# Layer-2 SF6 industrial point sources. Pull date 2026-06-03.
# US = EPA GHGRP (Envirofacts); EU = E-PRTR via EEA discodata [IED].[latest], SF6/AIR.
# GAP: China (~57% of global SF6) and most of Asia have no facility-level reporting.
facility_name,country,lat,lon,sf6_tonnes_yr,year,source_dataset,sector,notes
"Valero Renewable Fuels Campany LLC, dba Valero Albion Plant",US,41.6775,-97.982222,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
"Pacific Ethanol Aurora East, LLC",US,40.867306,-98.038722,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
ADKINS ENERGY LLC,US,42.3586,-89.80342,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
"Flint Hills Resources Iowa Falls, LLC",US,42.507192,-93.28041,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
"Pennsylvania Grain Processing, LLC",US,41.02828,-78.42462,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
Iroquois Bio Energy Company,US,40.933056,-87.067222,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
GLOBALFOUNDRIES U.S. 2 LLC - Vermont Facility,US,44.477359,-73.095221,0.615,2023,EPA GHGRP (Envirofacts),industrial,"subparts=C,I"
LINCOLNWAY ENERGY LLC,US,42.02344,-93.51171,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
Cargill Meat Solutions Corp,US,41.683889,-76.240833,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
"Analog Devices, Inc./ Wilmington Manufacturing",US,42.5307,-71.14958,0.293,2023,EPA GHGRP (Envirofacts),industrial,"subparts=C,I"
VALERO RENEWABLE FUELS LLC,US,44.297222,-96.717222,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
"FLINT HILLS RESOURCES MENLO, LLC",US,41.5236,-94.3819,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
BUSHMILLS ETHANOL INC.,US,45.137845,-94.807119,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
LOUIS DREYFUS COMMODITIES GRAND JUNCTION LLC,US,42.05199,-94.24234,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
PACKAGING CORPORATION OF AMERICA-TOMAHAWK,US,45.450849,-89.740303,,,EPA GHGRP (Envirofacts),industrial,"subparts=AA,C,II,TT"
