kg,local_id,ns,country,year,name,lon,lat,activity
126.0,EW_EA-1433.FACILITY,UK.CAED,GB,2014,Immingham Chp Power Station,-0.23947463,53.63656099948769,1(c)
127.0,010141001.FACILITY,IT.CAED,IT,2014,ENEL PRODUZIONE SpA - CENTRALE DI MONTALTO DI CASTRO,11.541666,42.3638879994653,1(c)
127.0,EW_EA-1433.FACILITY,UK.CAED,GB,2008,"Immingham CHP LLP, IMMINGHAM CHP POWER STATION",-0.23947463,53.63656099948769,1(c)
129.0,191361001.FACILITY,IT.CAED,IT,2019,Enel Produzione S.p.A.,9.872200000000001,44.11109999946338,1(c)
129.0,4109.FACILITY,FR.CAED,FR,2011,EDF UNITE DE PRODUCTION THERMIQUE DU HAVRE,0.147777777777778,49.47500999946988,1(c)
129.0,EW_EA-12824.FACILITY,UK.CAED,GB,2019,Langage Energy Centre EPR/AP3633BL,-4.0102612,50.38775799947284,1(c)
129.0,vl01849940000190.FACILITY,BE.EEA,BE,2010,ON SEMICONDUCTOR BELGIUM,3.5959516,50.85873999947458,2(f)
130.0,EW_EA-3226.FACILITY,UK.CAED,GB,2011,Philips Electronics UK Ltd,-2.1423093,53.37661999948626,4(b)
130.01,P0605.FACILITY,IE.CAED,IE,2019,Electricity Supply Board (Moneypoint),-9.42322,52.60783199948227,1(c)
131.0,000000347.Facility,CH.CAED,CH,2009,Services industriels de Genève - Activité DiE,6.1041,46.20669999946369,1(c)
131.0,EW_EA-1433.FACILITY,UK.CAED,GB,2016,Immingham Chp Power Station,-0.23947463,53.63656099948769,1(c)
133.0,670512002.FACILITY,IT.CAED,IT,2019,LFoundry S.R.L.,13.4258,41.99639999946595,9(c)
133.0,EW_EA-3226.FACILITY,UK.CAED,GB,2017,Stockport Semiconductor Plant,-2.1423093,53.37661999948626,5(c)
136.4,CZ34736841.FACILITY,CZ.MZP.U422,CZ,2022,Elektrárny Prunéřov,13.25870292,50.41871194,1(c)
138.0,070461001.FACILITY,IT.CAED,IT,2017,Fiume Santo S.p.A.,8.299166,40.85166599946857,1(c)
139.94,070461001.FACILITY,IT.CAED,IT,2018,Fiume Santo S.p.A.,8.299100000000001,40.85159999946858,1(c)
140.0,10743.FACILITY,FR.CAED,FR,2015,Aluminium Dunkerque,2.22,51.00109999947513,2(e)(i)
